InvoiceNo,InvoiceDate,CustomerID,Country,GrossSale
536840,2010-12-02 18:27:00,12738,Germany,155.35
536841,2010-12-02 18:27:00,16150,United Kingdom,393.42
536842,2010-12-02 18:45:00,17552,United Kingdom,263.62
536843,2010-12-02 18:46:00,17552,United Kingdom,34.9
536844,2010-12-02 18:49:00,14236,United Kingdom,189.3
536845,2010-12-02 19:18:00,17961,United Kingdom,127.55
536846,2010-12-02 19:59:00,14573,United Kingdom,413.1
536847,2010-12-03 09:31:00,17135,United Kingdom,215.57999999999998
536848,2010-12-03 09:39:00,13408,United Kingdom,534.0
536849,2010-12-03 09:45:00,17396,United Kingdom,397.5
536851,2010-12-03 09:49:00,12967,United Kingdom,1368.4
536852,2010-12-03 09:51:00,12686,France,89.14
536856,2010-12-03 10:26:00,13370,United Kingdom,754.87
536857,2010-12-03 10:33:00,16883,United Kingdom,128.03
536858,2010-12-03 10:36:00,13520,Switzerland,303.4
536859,2010-12-03 10:43:00,12841,United Kingdom,294.25
536860,2010-12-03 10:43:00,16905,United Kingdom,254.39999999999998
536861,2010-12-03 10:44:00,12427,Germany,303.5
536863,2010-12-03 11:19:00,17967,United Kingdom,123.07
536874,2010-12-03 11:35:00,16891,United Kingdom,232.26
536884,2010-12-03 11:42:00,14589,United Kingdom,39.75
536890,2010-12-03 11:48:00,14156,EIRE,322.2
536938,2010-12-03 12:05:00,14680,United Kingdom,1680.88
536943,2010-12-03 12:11:00,17884,United Kingdom,187.51
536944,2010-12-03 12:20:00,12557,Spain,620.0
536945,2010-12-03 12:24:00,14083,United Kingdom,309.54
536946,2010-12-03 12:28:00,13013,United Kingdom,841.94
536947,2010-12-03 12:29:00,13013,United Kingdom,686.4
536954,2010-12-03 12:41:00,17809,United Kingdom,425.0
536956,2010-12-03 12:43:00,14210,United Kingdom,304.95000000000005
536957,2010-12-03 12:43:00,17809,United Kingdom,791.7
536960,2010-12-03 12:48:00,16477,United Kingdom,225.65
536967,2010-12-03 12:57:00,12600,Germany,76.5
536968,2010-12-03 13:09:00,16013,United Kingdom,534.0
536969,2010-12-03 13:10:00,16013,United Kingdom,528.0
536970,2010-12-03 13:12:00,17949,United Kingdom,1314.0
536971,2010-12-03 13:40:00,12779,Poland,248.16
536972,2010-12-03 13:42:00,16926,United Kingdom,230.25
536973,2010-12-03 13:43:00,17787,United Kingdom,736.28
536974,2010-12-03 13:59:00,12682,France,336.24
536975,2010-12-03 14:04:00,14911,EIRE,1705.65
536976,2010-12-03 14:18:00,14723,United Kingdom,149.8
536977,2010-12-03 14:18:00,17954,United Kingdom,108.78
536980,2010-12-03 14:26:00,17819,United Kingdom,591.47
536981,2010-12-03 14:26:00,14723,United Kingdom,101.14
536983,2010-12-03 14:30:00,12712,Germany,175.53
536984,2010-12-03 14:35:00,17841,United Kingdom,339.54
536985,2010-12-03 14:40:00,15373,United Kingdom,334.3
536986,2010-12-03 14:40:00,16140,United Kingdom,124.14
536987,2010-12-03 14:54:00,17198,United Kingdom,272.01
536988,2010-12-03 15:05:00,17238,United Kingdom,254.39000000000001
536989,2010-12-03 15:10:00,17238,United Kingdom,115.7
536990,2010-12-03 15:14:00,12793,Portugal,131.8
536992,2010-12-03 15:16:00,15769,United Kingdom,91.8
536993,2010-12-03 15:19:00,14396,United Kingdom,110.35000000000001
536994,2010-12-03 15:25:00,14898,United Kingdom,98.5
537022,2010-12-03 15:45:00,12725,Italy,427.8
537023,2010-12-03 16:02:00,16725,United Kingdom,122.15
537026,2010-12-03 16:35:00,12395,Belgium,346.1
537030,2010-12-03 16:44:00,16455,United Kingdom,246.3
537031,2010-12-03 16:45:00,16455,United Kingdom,135.0
537034,2010-12-03 17:20:00,13081,United Kingdom,2355.1800000000003
537035,2010-12-03 17:21:00,13081,United Kingdom,11.6
537036,2010-12-03 17:28:00,15545,United Kingdom,135.32999999999998
537037,2010-12-05 10:03:00,17243,United Kingdom,256.90000000000003
537038,2010-12-05 10:12:00,15465,United Kingdom,535.75
537040,2010-12-05 10:27:00,13089,United Kingdom,734.3999999999999
537041,2010-12-05 10:36:00,16033,United Kingdom,155.64000000000001
537042,2010-12-05 10:45:00,13838,United Kingdom,238.11
537044,2010-12-05 10:52:00,18055,United Kingdom,431.45
537045,2010-12-05 10:54:00,15038,United Kingdom,126.42999999999999
537046,2010-12-05 10:58:00,18109,United Kingdom,277.45
537047,2010-12-05 11:02:00,13069,United Kingdom,326.6
537048,2010-12-05 11:03:00,13069,United Kingdom,5.9
537049,2010-12-05 11:04:00,16241,United Kingdom,277.65000000000003
537050,2010-12-05 11:10:00,14800,United Kingdom,555.84
537051,2010-12-05 11:12:00,15708,United Kingdom,350.68
537052,2010-12-05 11:15:00,16839,United Kingdom,552.24
537053,2010-12-05 11:38:00,16168,United Kingdom,275.8
537054,2010-12-05 11:40:00,16931,United Kingdom,152.05
537055,2010-12-05 11:45:00,16814,United Kingdom,273.29
537057,2010-12-05 11:49:00,15351,United Kingdom,274.67
537058,2010-12-05 11:51:00,13269,United Kingdom,351.43
537059,2010-12-05 11:54:00,14813,United Kingdom,127.98
537065,2010-12-05 11:57:00,12567,France,1526.92
537067,2010-12-05 11:57:00,14813,United Kingdom,27.45
537077,2010-12-05 11:59:00,17062,United Kingdom,179.64000000000001
537081,2010-12-05 12:00:00,15332,Lithuania,1145.06
537086,2010-12-05 12:01:00,15332,Lithuania,438.0
537090,2010-12-05 12:02:00,15332,Lithuania,15.0
537111,2010-12-05 12:08:00,14810,United Kingdom,180.44
537117,2010-12-05 12:09:00,16353,United Kingdom,204.0
537126,2010-12-05 12:13:00,18118,United Kingdom,475.86
537127,2010-12-05 12:13:00,13831,United Kingdom,408.0
537128,2010-12-05 12:15:00,12841,United Kingdom,211.74
537129,2010-12-05 12:15:00,13506,United Kingdom,301.12
537130,2010-12-05 12:23:00,17796,United Kingdom,114.65
537131,2010-12-05 12:26:00,15716,United Kingdom,547.1
537133,2010-12-05 12:29:00,18156,United Kingdom,206.23000000000002
537134,2010-12-05 12:34:00,16983,United Kingdom,163.49
537135,2010-12-05 12:35:00,17059,United Kingdom,722.36
537136,2010-12-05 12:42:00,12748,United Kingdom,273.76
537137,2010-12-05 12:43:00,16327,United Kingdom,535.6
537138,2010-12-05 12:44:00,17211,United Kingdom,273.3
537139,2010-12-05 12:47:00,17026,United Kingdom,33.15
537140,2010-12-05 12:53:00,12748,United Kingdom,70.42
537141,2010-12-05 12:57:00,15570,United Kingdom,517.65
537142,2010-12-05 12:57:00,12748,United Kingdom,41.45
537144,2010-12-05 13:00:00,15880,United Kingdom,343.28000000000003
537153,2010-12-05 13:03:00,16718,United Kingdom,623.75
537154,2010-12-05 13:05:00,15808,United Kingdom,1021.45
537155,2010-12-05 13:05:00,12748,United Kingdom,75.64
537156,2010-12-05 13:08:00,17858,United Kingdom,251.25
537158,2010-12-05 13:10:00,16393,United Kingdom,184.8
537159,2010-12-05 13:17:00,14527,United Kingdom,292.95
537160,2010-12-05 13:18:00,14161,United Kingdom,283.15
537163,2010-12-05 13:21:00,17863,United Kingdom,384.71999999999997
537176,2010-12-05 13:26:00,16411,United Kingdom,131.5
537179,2010-12-05 13:29:00,13767,United Kingdom,806.28
537192,2010-12-05 13:42:00,16402,United Kingdom,211.8
537193,2010-12-05 13:49:00,15023,United Kingdom,460.6
537194,2010-12-05 13:53:00,17402,United Kingdom,271.2
537195,2010-12-05 13:55:00,15311,United Kingdom,650.64
537196,2010-12-05 13:55:00,15426,United Kingdom,411.42
537197,2010-12-05 14:02:00,12647,Germany,286.5
537198,2010-12-05 14:03:00,12647,Germany,85.5
537199,2010-12-05 14:06:00,15894,United Kingdom,156.74
537200,2010-12-05 14:17:00,15867,United Kingdom,112.9
537201,2010-12-05 14:19:00,12472,Germany,1631.3
537202,2010-12-05 14:25:00,14506,United Kingdom,269.7
537204,2010-12-05 14:45:00,15555,United Kingdom,198.43
537205,2010-12-05 14:52:00,13034,United Kingdom,165.86
537206,2010-12-05 15:02:00,15235,United Kingdom,85.55000000000001
537207,2010-12-05 15:06:00,17402,United Kingdom,188.77
537208,2010-12-05 15:12:00,15889,United Kingdom,297.92
537209,2010-12-05 15:12:00,14606,United Kingdom,192.68
537210,2010-12-05 15:15:00,15953,United Kingdom,209.84
537211,2010-12-05 15:18:00,16143,United Kingdom,355.75
537212,2010-12-05 15:21:00,12720,Germany,473.39
537213,2010-12-05 15:26:00,12748,United Kingdom,8.65
537214,2010-12-05 15:35:00,16422,United Kingdom,1668.2
537215,2010-12-05 15:38:00,12747,United Kingdom,358.55999999999995
537216,2010-12-05 15:40:00,15502,United Kingdom,569.5
537217,2010-12-05 15:40:00,15502,United Kingdom,167.2
537218,2010-12-05 15:46:00,12763,Japan,320.08
537219,2010-12-05 15:47:00,14081,United Kingdom,423.52
537221,2010-12-05 15:54:00,17965,United Kingdom,37.35
537222,2010-12-05 16:00:00,14404,United Kingdom,133.48
537223,2010-12-05 16:10:00,13579,United Kingdom,164.70000000000002
537224,2010-12-05 16:24:00,13174,United Kingdom,1415.97
537225,2010-12-05 16:41:00,12748,United Kingdom,496.48
537226,2010-12-06 08:34:00,15987,United Kingdom,113.48
537227,2010-12-06 08:42:00,17677,United Kingdom,922.4000000000001
537228,2010-12-06 08:43:00,17677,United Kingdom,25.200000000000003
537229,2010-12-06 08:44:00,17677,United Kingdom,17.4
537231,2010-12-06 09:21:00,13652,United Kingdom,308.8
537233,2010-12-06 09:37:00,17428,United Kingdom,353.0
537235,2010-12-06 09:45:00,17381,United Kingdom,2567.6400000000003
537236,2010-12-06 09:52:00,16858,United Kingdom,375.69000000000005
537238,2010-12-06 10:03:00,16161,United Kingdom,164.2
537239,2010-12-06 10:05:00,18219,United Kingdom,210.19
537241,2010-12-06 10:18:00,14293,United Kingdom,364.92
537242,2010-12-06 10:19:00,14748,United Kingdom,412.22
537243,2010-12-06 10:19:00,16638,United Kingdom,50.400000000000006
537244,2010-12-06 10:20:00,17674,United Kingdom,300.66
537245,2010-12-06 10:24:00,14748,United Kingdom,58.2
537246,2010-12-06 10:27:00,12808,Portugal,129.4
537247,2010-12-06 10:34:00,13094,United Kingdom,223.68
537248,2010-12-06 10:36:00,15899,United Kingdom,56.25
537249,2010-12-06 10:38:00,16955,United Kingdom,33.0
537250,2010-12-06 10:43:00,12708,Germany,196.44
537254,2010-12-06 11:01:00,15898,United Kingdom,382.69
537255,2010-12-06 11:03:00,14443,United Kingdom,303.5
537256,2010-12-06 11:06:00,16210,United Kingdom,2263.8
537257,2010-12-06 11:10:00,17691,United Kingdom,142.5
537258,2010-12-06 11:16:00,17227,United Kingdom,142.25
537262,2010-12-06 11:26:00,15039,United Kingdom,611.51
537265,2010-12-06 11:26:00,15919,United Kingdom,270.72
537298,2010-12-06 11:37:00,13497,United Kingdom,153.5
537301,2010-12-06 11:38:00,15860,United Kingdom,102.66
537312,2010-12-06 11:42:00,14189,United Kingdom,311.24
537313,2010-12-06 11:42:00,15304,United Kingdom,123.15
537332,2010-12-06 11:58:00,14344,United Kingdom,322.8
537334,2010-12-06 12:06:00,16719,United Kingdom,430.73
537335,2010-12-06 12:15:00,15048,United Kingdom,98.7
537346,2010-12-06 12:21:00,15301,United Kingdom,673.37
537350,2010-12-06 12:23:00,14708,United Kingdom,419.06
537351,2010-12-06 12:23:00,16898,United Kingdom,116.08
537354,2010-12-06 12:23:00,12748,United Kingdom,133.07
537359,2010-12-06 12:30:00,14825,United Kingdom,184.10000000000002
537360,2010-12-06 12:31:00,18113,United Kingdom,76.32000000000001
537362,2010-12-06 12:34:00,17596,United Kingdom,392.62
537365,2010-12-06 12:38:00,15078,United Kingdom,449.95000000000005
537366,2010-12-06 12:39:00,14085,United Kingdom,308.05
537367,2010-12-06 12:39:00,15078,United Kingdom,25.200000000000003
537368,2010-12-06 12:40:00,14911,EIRE,377.5
537369,2010-12-06 12:41:00,17860,United Kingdom,252.8
537370,2010-12-06 12:44:00,13155,United Kingdom,379.7
537371,2010-12-06 12:47:00,15028,United Kingdom,185.97
537372,2010-12-06 12:52:00,16919,United Kingdom,198.35
537374,2010-12-06 12:55:00,17259,United Kingdom,381.64
537375,2010-12-06 12:55:00,17019,United Kingdom,358.82
537376,2010-12-06 12:59:00,16722,United Kingdom,480.68
537377,2010-12-06 13:01:00,15882,United Kingdom,270.52
